구,2016,2017,2018,2019,2020,2021,2022
강남구,63180018.19,70288947.65,69642773.22,71197783.96,74687708.89,81053206.39,84195799.24
강동구,34693920.43,36321654.16,38071813.27,40510555.78,41596165.03,44191867.97,46063056.08
강북구,25896302.16,27069900.21,28179686.82,29282999.29,29528033.35,31041122.77,33040920
강서구,33018423.11,34824475.79,36323784.82,37389156.6,37465235.23,39478474.3,42341790.97
관악구,28584082.22,29703509.07,30757579.62,31568163.95,32071817.2,33653263.62,35853226.54
광진구,33765607.89,35482179.47,36811163.07,37734874.24,38478332.79,40772492.66,43342714.04
구로구,30917753.18,32497981.48,33656606.9,34756679.06,35411384.7,37383094.64,39673100.01
금천구,26439974.12,27741562.57,29066084.53,30056805.55,30821922.3,32511710.24,34566304.91
노원구,34260484.55,35557192.46,36689581,37681805.82,38424517.87,40073374.52,41832898.42
도봉구,29272528.07,30299622.35,31141831.74,31973436.28,32416353.76,33944232.35,35522591.63
동대문구,30388740.06,32130817.71,33670210.74,34817921.04,35699033.82,37884712.07,40335628.97
동작구,36785711.01,38328692.04,39738264.07,40796756.73,41785433.37,44188900.43,46678859.44
마포구,40748781.71,42749632.3,44785412.92,46733905.94,48008979.34,51249928.52,54112385.17
서대문구,36023710.5,37507745.13,39471369.04,41139150.83,42169922.77,44647890.37,47015333.76
서초구,63203369.51,68563793.96,69013976.71,71177583.32,74406403.22,80510746.44,84012373.01
성동구,39762473.2,42410502.14,44486890.14,46163738.51,48168901.33,52498139.5,54928928.12
성북구,35689005.42,37513239.5,38461492.33,39346934.45,40511391.84,42202896.94,44253812.98
송파구,44854792.57,46755214.35,48933412.37,50591584.21,52085112.38,55703663.58,58284359
양천구,40951678.53,42799615.48,44404440.32,45772042.55,46834694.88,49391499.91,51871005.65
영등포구,38135784,39957889.75,41639077.68,43278336.1,44465456.98,47450278,50486754.93
용산구,53522857.14,57264589.01,58846349.64,62704325.91,64923778.42,69795335.13,76402284.64
은평구,30152095.35,31533486.78,33076407.14,34486272.4,35072051.93,36915160.97,38979907.84
종로구,44569364.05,46591873.91,47627325.08,48704777.09,49051738.94,52233029.34,55232022.08
중구,41081670.84,43236589.82,44886459.63,46202918.78,47315929.53,49499322.51,53508242.02
중랑구,26507617.78,27821793.44,29018909.44,30316186.92,31197192.64,32823431.69,34712328.77
